Type,Petal_Width,Petal_Length,Sepal_Width,Sepal_Length
setosa,2,14,33,50
virginica,24,56,31,67
virginica,23,51,31,69
setosa,2,10,36,46
virginica,20,52,30,65
virginica,19,51,27,58
versicolor,13,45,28,57
versicolor,16,47,33,63
virginica,17,45,25,49
versicolor,14,47,32,70
setosa,2,16,31,48
virginica,19,50,25,63
setosa,1,14,36,49
setosa,2,13,32,44
versicolor,12,40,26,58
virginica,18,49,27,63
versicolor,10,33,23,50
setosa,2,16,38,51
setosa,2,16,30,50
virginica,21,56,28,64
setosa,4,19,38,51
setosa,2,14,30,49
versicolor,10,41,27,58
versicolor,15,45,29,60
setosa,2,14,36,50
virginica,19,51,27,58
setosa,4,15,34,54
virginica,18,55,31,64
versicolor,10,33,24,49
setosa,2,14,42,55
virginica,15,50,22,60
versicolor,14,39,27,52
setosa,2,14,29,44
versicolor,12,39,27,58
virginica,23,57,32,69
versicolor,15,42,30,59
virginica,20,49,28,56
virginica,18,58,25,67
versicolor,13,44,23,63
versicolor,15,49,25,63
versicolor,11,30,25,51
virginica,21,54,31,69
virginica,25,61,36,72
versicolor,13,36,29,56
virginica,21,55,30,68
setosa,1,14,30,48
setosa,3,17,38,57
versicolor,14,44,30,66
setosa,4,15,37,51
versicolor,17,50,30,67
virginica,22,56,28,64
virginica,15,51,28,63
versicolor,15,45,22,62
versicolor,14,46,30,61
versicolor,11,39,25,56
virginica,23,59,32,68
virginica,23,54,34,62
virginica,25,57,33,67
setosa,2,13,35,55
versicolor,15,45,32,64
virginica,18,51,30,59
virginica,23,53,32,64
versicolor,15,45,30,54
virginica,21,57,33,67
setosa,2,13,30,44
setosa,2,16,32,47
virginica,18,60,32,72
virginica,18,49,30,61
setosa,2,12,32,50
setosa,1,11,30,43
versicolor,14,44,31,67
setosa,2,14,35,51
setosa,4,16,34,50
versicolor,10,35,26,57
virginica,23,61,30,77
versicolor,13,42,26,57
setosa,1,15,41,52
virginica,18,48,30,60
versicolor,13,42,27,56
setosa,2,15,31,49
setosa,4,17,39,54
versicolor,16,45,34,60
versicolor,10,35,20,50
setosa,2,13,32,47
versicolor,13,54,29,62
setosa,2,15,34,51
versicolor,10,50,22,60
setosa,1,15,31,49
setosa,2,15,37,54
versicolor,12,47,28,61
versicolor,13,41,28,57
setosa,4,13,39,54
virginica,20,51,32,65
versicolor,15,49,31,69
versicolor,13,40,25,55
setosa,3,13,23,45
setosa,3,15,38,51
versicolor,14,48,28,68
setosa,2,15,35,52
virginica,25,60,33,63
versicolor,15,46,28,65
setosa,3,14,34,46
versicolor,18,48,32,59
versicolor,16,51,27,60
virginica,18,55,30,65
setosa,5,17,33,51
virginica,22,67,38,77
virginica,21,66,30,76
virginica,13,52,30,67
versicolor,13,40,28,61
versicolor,11,38,24,55
setosa,2,14,34,52
virginica,20,64,38,79
setosa,6,16,35,50
virginica,20,67,28,77
versicolor,12,44,26,55
setosa,3,14,30,48
setosa,2,19,34,48
virginica,14,56,26,61
setosa,2,12,40,58
virginica,18,48,28,62
versicolor,15,45,30,56
setosa,2,14,32,46
setosa,4,15,44,57
virginica,24,56,34,63
virginica,16,58,30,72
virginica,21,59,30,71
virginica,18,56,29,63
versicolor,12,42,30,57
virginica,23,69,26,77
versicolor,13,56,29,66
setosa,2,15,34,52
versicolor,10,37,24,55
setosa,2,15,31,46
virginica,19,61,28,74
setosa,3,13,35,50
virginica,18,63,29,73
versicolor,15,47,31,67
versicolor,13,41,30,56
versicolor,13,43,29,64
virginica,22,58,30,65
setosa,3,14,35,51
versicolor,14,47,29,61
virginica,19,53,27,64
setosa,2,16,34,48
virginica,20,50,25,57
versicolor,13,40,23,55
setosa,2,17,34,54
virginica,24,51,28,58
setosa,2,15,37,53
